DAY,LATITUDE,LONGITUDE,MONTH,YEAR,label,total_precipitation_sum,temperature_c,dewpoint_c
19,55.46137901295701,-123.49143421248975,10,2024,0,0.01584719599247819,2.184606806437216,1.7229044596354584
19,56.28085986490293,-122.31589065034082,10,2024,0,0.004848246583947002,0.5492715199788449,-0.7722127278645416
19,55.631288250106564,-129.77064041336882,10,2024,0,0.01689814508915788,0.13333727518721616,-0.12491455078122726
19,55.5830152719097,-123.96017754673835,10,2024,0,0.012423594603546917,0.9276081085205305,0.24919026692708712
19,55.40658207895777,-127.24793763776651,10,2024,0,0.012208079109200298,-1.013716761271155,-2.019608561197913
19,54.98851080988566,-123.66477346798415,10,2024,0,0.017071698913582622,1.3855345408122162,1.0780476888020871
19,55.11018897005752,-116.11983283551847,10,2024,0,0.002562587270745098,5.127722040812216,0.28621826171877274
19,51.57702202879463,-124.35710224615737,10,2024,0,0.006758083710678875,0.9484414418538449,-0.19652913411454165
19,57.10007139765906,-133.12021719339606,10,2024,0,0.010393937239655315,4.0040241241455305,2.9988647460937727
19,56.912877623752905,-125.35316452330738,10,2024,0,0.002591942558296978,-1.514449183146155,-3.7468221028645416
19,51.19446742418488,-118.29148082471373,10,2024,0,0.026733969459542095,-0.25557874043778384,-1.0209106445312273
19,58.23489853256138,-128.0867431240115,10,2024,0,0.0036097216701591606,-3.3253215789794695,-5.313146972656227
19,59.5206697070056,-121.04379808733493,10,2024,0,0.0036224621629799003,-3.727339808146155,-7.385819498697913
19,54.40162264188884,-123.27183922440456,10,2024,0,0.014907990703591167,3.3763385772705305,2.465010579427087
19,55.94303732983875,-129.96709936067734,10,2024,0,0.015445728907593548,0.28144925435384494,-0.20206298828122726
19,56.99595465854551,-123.25603573645346,10,2024,0,0.003376116166123211,-1.7833293914794695,-4.345617675781227
19,51.6944686046013,-117.7861621092498,10,2024,0,0.028547410974510967,-2.573775355021155,-3.570878092447913
19,53.92978340649499,-122.85491883278345,10,2024,0,0.012021009931572735,4.7393756866455305,2.6738321940104584
19,56.5124477424068,-122.19392200624443,10,2024,0,0.003330637822159588,1.541214879353845,0.08350016276045835
19,54.80788988265061,-125.67173717596451,10,2024,0,0.009986986527451336,2.108434931437216,1.7831258138020871
19,56.7422080731386,-115.84387980642263,10,2024,0,0.000270937690743267,3.043249384562216,-0.8977010091145416
19,51.08050822994454,-122.20252309202185,10,2024,0,0.005269964346894085,1.5466673533122162,0.30819091796877274
19,58.81879887665742,-116.52052426255656,10,2024,0,0.004728545556076824,-1.2242473602294695,-3.1979125976562273
19,49.65178699057638,-126.64053626125347,10,2024,0,,,
19,48.29958757082636,-118.95422659837355,10,2024,0,0.0007781881189430351,7.743444697062216,3.400801595052087
19,50.17348996481302,-116.03130152088607,10,2024,0,0.010104705700882732,1.341751988728845,-0.6603963216145416
19,54.04272910370129,-116.65356260929428,10,2024,0,0.002174084196099102,3.672399775187216,-0.9701293945312273
19,48.72563673057169,-120.18048984194924,10,2024,0,0.012688984284409344,2.326940790812216,2.044112141927087
19,55.03782983554096,-122.6047705852138,10,2024,0,0.02883923531533128,0.9091348012288449,0.4506062825520871
19,51.43836194910329,-118.01358293436503,10,2024,0,0.02926517010689622,-2.243208948771155,-3.003495279947913
19,57.658069687219005,-117.48701934220362,10,2024,0,0.002375294575699627,0.5668496449788449,-1.9108846028645416
19,53.37860776324885,-129.77948616751962,10,2024,0,0.02225448668957597,8.779089228312216,7.780440266927087
19,53.730345277726585,-124.81490895298178,10,2024,0,0.002052520523079693,5.0526081085205305,2.6552775065104584
19,56.464006168691306,-121.24251121103268,10,2024,0,0.002714877138146221,1.569779332478845,0.21338297526045835
19,58.91080857967761,-123.19679364915443,10,2024,0,0.0033535409069145317,-2.495080693562784,-6.051590983072913
19,57.45690518108823,-133.15027757395043,10,2024,0,0.014301990280159771,1.0465045928955305,-0.28026936848954165
19,53.900421061310674,-118.63501892646545,10,2024,0,0.003944431552895367,1.3022825876872162,-2.9514119466145416
19,57.03048115299793,-130.73617952427526,10,2024,0,0.008906622538574993,-1.1437623341877838,-2.1848103841145416
19,57.437277706059945,-126.61268164844147,10,2024,0,0.003298555622109234,-3.283166631062784,-4.937495930989542
19,55.72995488629562,-126.9907333726512,10,2024,0,0.00934264541626817,0.38870836893721616,-0.5988728841145416
19,57.23362235635331,-128.88775517833906,10,2024,0,0.004890416870125591,-3.459273401896155,-4.572587076822913
